endpoint,documented_codes,observed_codes,matched_codes,documented_2xx,matched_2xx,coverage_2xx_pct,documented_4xx,matched_4xx,coverage_4xx_pct,coverage_pct
get-/projects,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
post-/projects,['201'],"['201', '400', '422']",['201'],['201'],['201'],100.0,[],[],0.0,100.0
get-/issues,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/issues/{id},['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/groups,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
post-/groups,['201'],['400'],[],['201'],[],0.0,[],[],0.0,0.0
get-/groups/{id}/issues,['200'],['200'],['200'],['200'],['200'],100.0,[],[],0.0,100.0
get-/projects/{id}/issues,['200'],"['200', '404']",['200'],['200'],['200'],100.0,[],[],0.0,100.0
post-/projects/{id}/issues,['201'],"['201', '404', '409']",['201'],['201'],['201'],100.0,[],[],0.0,100.0
get-/projects/{id}/issues/{issue_iid},['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
put-/projects/{id}/issues/{issue_iid},['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
delete-/projects/{id}/issues/{issue_iid},['204'],['404'],[],['204'],[],0.0,[],[],0.0,0.0
put-/projects/{id}/issues/{issue_iid}/reorder,['200'],"['400', '404']",[],['200'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/move,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/subscribe,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/unsubscribe,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/todo,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/time_estimate,['201'],['400'],[],['201'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/reset_time_estimate,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/add_spent_time,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/reset_spent_time,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
get-/projects/{id}/issues/{issue_iid}/time_stats,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
get-/projects/{id}/issues/{issue_iid}/related_merge_requests,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
get-/projects/{id}/issues/{issue_iid}/closed_by,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
get-/projects/{id}/issues/{issue_iid}/participants,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
get-/projects/{id}/issues/{issue_iid}/metric_images,['200'],['404'],[],['200'],[],0.0,[],[],0.0,0.0
post-/projects/{id}/issues/{issue_iid}/metric_images,['201'],['404'],[],['201'],[],0.0,[],[],0.0,0.0
